file	num_scaffolds	total_len	avg_len	max_len	min_len	N50	scaffolds_>1Mb
Balaenoptera_acutorostrata.fna	1374	2772885358	2018111.6	198663870	1000	116513105	40
Phocoena_phocoena.fna	439	2512713112	5723720.1	187254698	1000	110192646	57
Odocoileus_virginianus.fna	481	2423263331	5037969.5	108574468	2666	66396233	86
Ziphius_cavirostris.fna	3758276	3150417206	838.3	135634	200	3608	0
Hippopotamus_amphibius.fna	357	2538259262	7109969.9	240032215	16407	149218186	19
Budorcas_taxicolor.fna	1363	2851654952	2092190.0	221681955	8048	109747698	52
Delphinus_delphis.fna	630	2663516986	4227804.7	184867555	1000	107080983	96
Eschrichtius_robustus.fna	703	2982418581	4242416.2	200946153	12535	126538682	117
Orcinus_orca.fna	448	2647351467	5909266.7	212697510	15590	114219206	66
Pontoporia_blainvillei.fna	493481	2011747776	4076.6	72300	485	6929	0
Eubalaena_japonica.fna	1353963	2693575300	1989.4	566596	200	39813	0
Okapia_johnstoni.fna	3653	2387734228	653636.5	174459755	320	102048473	28
Hydropotes_inermis.fna	1712	2540444434	1483904.5	133749288	1000	74967728	43
Sagmatias_obliquidens.fna	5422	2334467171	430554.6	108976195	202	28371583	135
Delphinapterus_leucas.fna	5905	2362774659	400131.2	120963982	909	31183418	115
Balaenoptera_ricei.fna	774	2678442663	3460520.2	194239256	1000	122071569	42
Bos_taurus.fna	1958	2770686120	1415059.3	158534110	1034	103308737	34
Giraffa_camelopardolis.fna	2096	2441480433	1164828.5	236005560	504	158234173	18
Platanista_minor.fna	1098790	2671072510	2430.9	229199	200	23933	0
Monodon_monoceros.fna	6972	2355574979	337862.2	179923342	1000	107566389	25
Bison_bison.fna	128431	2828031685	22019.9	43721425	500	7192658	395
Balaenoptera_musculus.fna	106	2374868943	22404424.0	184938300	610	110314666	23
Sus_scrofa.fna	613	2501912388	4081423.1	274330532	15096	138966237	29
Megaptera_novaeangliae.fna	1355	3146604256	2322217.2	191558633	7800	107416641	224
Sousa_chinensis.fna	23368	2338882461	100089.1	71518403	200	19436979	195
Capra_hircus.fna	29886	2922617086	97792.2	157403528	513	87277232	32
Lipotes_vexillifer.fna	24810	2419495777	97521.0	11539319	200	2434970	782
Hyperoodon_ampullatus.fna	756	2828744367	3741725.4	230449670	1000	117448692	126
Pseudorca_crassidens.fna	438	2674592094	6106374.6	198744646	9247	110095734	71
Eubalaena_glacialis.fna	789	2843691573	3604171.8	240837649	12339	129620717	61
Physeter_macrocephalus.fna	12169	2496225537	205129.9	182843547	422	122182240	21
Antilocapra_americano.fna	1215	2572314142	2117131.0	87152160	7949	10625239	336
Kogia_breviceps.fna	581	2555855246	4399062.4	202422507	9545	122394096	32
Cervus_canadensis.fna	185	2526613007	13657367.6	146388637	1015	77654944	35
Physeter_catodon.fna	12169	2496225537	205129.9	182843547	422	122182240	21
Tragulas_javanicus.fna	1082489	2589955488	2392.6	62568701	200	14082842	222
Lagenorhynchus_albirostris.fna	410	2544835795	6206916.6	192538540	1000	110721866	59
Ovis_aries.fna	143	2654063983	18559888.0	278617202	1398	101274418	31
Neophocaena_asiaeorientalis.fna	13696	2284626297	166809.7	33179877	200	6341296	436
Mesoplodon_densirostris.fna	74	2683391478	36262047.0	247284360	16347	125805690	55
Phocoena_sinus.fna	64	2371524154	37055064.9	185845356	1871	115469292	22
Bubalus_bubalis.fna	26	2622460639	100863870.7	202348575	16358	116997125	25
Camelus_bactrianus.fna	158	2473918224	15657710.3	164120332	14149	79915242	56
Bos_indicus.fna	67	2663005763	39746354.7	157911184	79694	104596815	31
Muntiacus_muntjak.fna	25651	2573529099	100328.6	1107743563	1000	682452208	3
Tursiops_trunctus.fna	361	2378505825	6588658.8	183742880	1017	108430135	26
Globicephla_melas.fna	992	2651276051	2672657.3	188105751	1000	105087932	78
