Genome	NC
Antilocapra_americano.fna	0
Balaenoptera_acutorostrata.fna	22
Balaenoptera_musculus.fna	24
Balaenoptera_ricei.fna	22
Bison_bison.fna	1
Bos_indicus.fna	30
Bos_taurus.fna	32
Bubalus_bubalis.fna	26
Budorcas_taxicolor.fna	28
Camelus_bactrianus.fna	38
Capra_hircus.fna	30
Cervus_canadensis.fna	35
Delphinapterus_leucas.fna	1
Delphinus_delphis.fna	23
Eschrichtius_robustus.fna	23
Eubalaena_glacialis.fna	23
Eubalaena_japonica.fna	0
Giraffa_camelopardolis.fna	0
Globicephla_melas.fna	23
Hippopotamus_amphibius.fna	19
Hydropotes_inermis.fna	0
Hyperoodon_ampullatus.fna	21
Kogia_breviceps.fna	22
Lagenorhynchus_albirostris.fna	23
Lipotes_vexillifer.fna	1
Megaptera_novaeangliae.fna	0
Mesoplodon_densirostris.fna	23
Monodon_monoceros.fna	0
Muntiacus_muntjak.fna	0
Neophocaena_asiaeorientalis.fna	1
Odocoileus_virginianus.fna	37
Okapia_johnstoni.fna	0
Orcinus_orca.fna	23
Ovis_aries.fna	29
Phocoena_phocoena.fna	22
Phocoena_sinus.fna	22
Physeter_catodon.fna	22
Physeter_macrocephalus.fna	22
Platanista_minor.fna	0
Pontoporia_blainvillei.fna	0
Pseudorca_crassidens.fna	23
Sagmatias_obliquidens.fna	1
Sousa_chinensis.fna	0
Sus_scrofa.fna	21
Tragulas_javanicus.fna	0
Tursiops_trunctus.fna	23
Ziphius_cavirostris.fna	0
